id,activityType,startTime,activityTime,actDistance,elevationGain,avgSpeed,avgHR,maxHR,steps,calories
0,Strength Training,"Thu, 6 Apr 2017 10:43 PM",1:09:02,,,,119.0,163.0,,597.0
1,Strength Training,"Tue, 4 Apr 2017 10:36 PM",54:37,,,,117.0,155.0,,474.0
2,Strength Training,"Sun, 2 Apr 2017 10:46 PM",1:12:20,,,,116.0,159.0,,601.0
3,Strength Training,"Tue, 28 Mar 2017 11:02 PM",42:11,,,,99.0,142.0,,257.0
4,Strength Training,"Mon, 27 Mar 2017 11:17 PM",45:42,,,,120.0,165.0,,412.0
5,Strength Training,"Sat, 18 Mar 2017 7:11 PM",42:14,,,,121.0,143.0,,397.0
6,Strength Training,"Fri, 17 Mar 2017 9:17 PM",41:15,,,,116.0,160.0,,378.0
7,Strength Training,"Fri, 3 Mar 2017 8:55 PM",1:05:18,,,,107.0,150.0,,455.0
8,Strength Training,"Wed, 1 Mar 2017 9:42 PM",1:35:59,,,,110.0,158.0,,648.0
9,Strength Training,"Tue, 21 Feb 2017 10:55 PM",1:04:53,,,,116.0,170.0,,469.0
10,Strength Training,"Sun, 19 Feb 2017 10:49 PM",1:13:34,,,,124.0,170.0,,585.0
11,Running,"Sat, 18 Feb 2017 7:00 PM",23:28,2.67,,8.48,159.0,174.0,3722.0,323.0
12,Strength Training,"Tue, 14 Feb 2017 9:07 PM",55:25,,,,124.0,150.0,,462.0
13,Strength Training,"Sun, 12 Feb 2017 10:38 PM",1:24:44,,,,115.0,160.0,,562.0
14,Strength Training,"Tue, 7 Feb 2017 11:05 PM",54:26,,,,128.0,155.0,,510.0
15,Strength Training,"Sun, 5 Feb 2017 10:56 PM",1:04:59,,,,114.0,170.0,,451.0
16,Running,"Sat, 4 Feb 2017 1:29 PM",56:58,6.23,,9.09,159.0,178.0,8974.0,783.0
17,Strength Training,"Fri, 3 Feb 2017 8:43 PM",1:05:54,,,,98.0,132.0,,331.0
18,Treadmill Running,"Thu, 2 Feb 2017 10:06 PM",24:36,2.62,,9.23,151.0,170.0,3800.0,319.0
19,Strength Training,"Wed, 1 Feb 2017 9:24 PM",1:24:11,,,,104.0,145.0,,479.0
