id,activityType,startTime,actDistance,elevationGain,avgSpeed,avgHR,maxHR,steps,calories,activityMonth,activityDay,activityMonthName,activityDayName,activityLevel,activityMins
0,Strength Training,2017-04-06 22:43:00,,,,119.0,163.0,,597.0,4,3,April,Thursday,Light,69.02
1,Strength Training,2017-04-04 22:36:00,,,,117.0,155.0,,474.0,4,1,April,Tuesday,Light,54.37
2,Strength Training,2017-04-02 22:46:00,,,,116.0,159.0,,601.0,4,6,April,Sunday,Light,72.2
3,Strength Training,2017-03-28 23:02:00,,,,99.0,142.0,,257.0,3,1,March,Tuesday,Very Light,42.11
4,Strength Training,2017-03-27 23:17:00,,,,120.0,165.0,,412.0,3,0,March,Monday,Light,45.42
5,Strength Training,2017-03-18 19:11:00,,,,121.0,143.0,,397.0,3,5,March,Saturday,Light,42.14
6,Strength Training,2017-03-17 21:17:00,,,,116.0,160.0,,378.0,3,4,March,Friday,Light,41.15
7,Strength Training,2017-03-03 20:55:00,,,,107.0,150.0,,455.0,3,4,March,Friday,Very Light,65.18
8,Strength Training,2017-03-01 21:42:00,,,,110.0,158.0,,648.0,3,2,March,Wednesday,Very Light,95.59
9,Strength Training,2017-02-21 22:55:00,,,,116.0,170.0,,469.0,2,1,February,Tuesday,Light,64.53
10,Strength Training,2017-02-19 22:49:00,,,,124.0,170.0,,585.0,2,6,February,Sunday,Light,73.34
11,Running,2017-02-18 19:00:00,2.67,,8.48,159.0,174.0,3722.0,323.0,2,5,February,Saturday,Hard,23.28
12,Strength Training,2017-02-14 21:07:00,,,,124.0,150.0,,462.0,2,1,February,Tuesday,Light,55.25
13,Strength Training,2017-02-12 22:38:00,,,,115.0,160.0,,562.0,2,6,February,Sunday,Light,84.44
14,Strength Training,2017-02-07 23:05:00,,,,128.0,155.0,,510.0,2,1,February,Tuesday,Light,54.26
15,Strength Training,2017-02-05 22:56:00,,,,114.0,170.0,,451.0,2,6,February,Sunday,Light,64.59
16,Running,2017-02-04 13:29:00,6.23,,9.09,159.0,178.0,8974.0,783.0,2,5,February,Saturday,Hard,56.58
17,Strength Training,2017-02-03 20:43:00,,,,98.0,132.0,,331.0,2,4,February,Friday,Very Light,65.54
18,Treadmill Running,2017-02-02 22:06:00,2.62,,9.23,151.0,170.0,3800.0,319.0,2,3,February,Thursday,Moderate,24.36
19,Strength Training,2017-02-01 21:24:00,,,,104.0,145.0,,479.0,2,2,February,Wednesday,Very Light,84.11
20,Strength Training,2017-01-30 18:36:00,,,,100.0,146.0,,398.0,1,0,January,Monday,Very Light,74.14
21,Running,2017-01-28 21:23:00,4.25,,9.47,139.0,170.0,6522.0,475.0,1,5,January,Saturday,Moderate,41.38
22,Strength Training,2017-01-27 21:07:00,,,,98.0,157.0,,283.0,1,4,January,Friday,Very Light,51.48
23,Running,2017-01-26 22:13:00,2.45,,8.58,148.0,177.0,3460.0,274.0,1,3,January,Thursday,Moderate,22.02
24,Strength Training,2017-01-24 21:52:00,,,,117.0,148.0,,521.0,1,1,January,Tuesday,Light,74.06
25,Strength Training,2017-01-22 22:45:00,,,,126.0,171.0,,567.0,1,6,January,Sunday,Light,75.07
26,Running,2017-01-21 17:26:00,6.23,,9.23,159.0,175.0,9114.0,789.0,1,5,January,Saturday,Hard,58.27
27,Strength Training,2017-01-19 21:28:00,,,,119.0,169.0,,493.0,1,3,January,Thursday,Light,66.42
28,Strength Training,2017-01-17 21:35:00,,,,126.0,169.0,,638.0,1,1,January,Tuesday,Light,76.41
29,Strength Training,2017-01-15 22:44:00,,,,109.0,162.0,,443.0,1,6,January,Sunday,Very Light,72.57
30,Strength Training,2017-01-14 20:56:00,,,,95.0,134.0,,492.0,1,5,January,Saturday,Very Light,106.49
31,Cycling,2017-01-13 12:47:00,8.3,,7.7,139.0,171.0,,712.0,1,4,January,Friday,Moderate,64.43
32,Strength Training,2017-01-12 18:29:00,,,,106.0,155.0,,421.0,1,3,January,Thursday,Very Light,70.14
33,Running,2017-01-10 17:08:00,2.29,,9.08,162.0,180.0,3330.0,300.0,1,1,January,Tuesday,Hard,20.55
34,Strength Training,2017-01-09 22:49:00,,,,113.0,152.0,,478.0,1,0,January,Monday,Very Light,68.35
35,Cycling,2017-01-08 13:50:00,3.17,,9.9,137.0,169.0,,228.0,1,6,January,Sunday,Moderate,19.17
36,Running,2017-01-08 13:22:00,2.89,,9.07,161.0,173.0,4148.0,388.0,1,6,January,Sunday,Hard,26.23
37,Strength Training,2017-01-07 21:03:00,,,,97.0,135.0,,296.0,1,5,January,Saturday,Very Light,54.16
38,Running,2017-01-06 13:46:00,3.11,,9.3,146.0,160.0,4604.0,385.0,1,4,January,Friday,Moderate,29.34
39,Cycling,2017-01-06 13:25:00,3.67,,10.9,128.0,161.0,,214.0,1,4,January,Friday,Light,20.09
40,Running,2017-01-05 09:23:00,1.58,,9.08,161.0,173.0,2294.0,222.0,1,3,January,Thursday,Hard,14.27
41,Cycling,2017-01-05 08:54:00,4.91,,10.4,135.0,167.0,,344.0,1,3,January,Thursday,Moderate,28.26
42,Strength Training,2017-01-04 22:56:00,,,,118.0,153.0,,500.0,1,2,January,Wednesday,Light,60.11
43,Strength Training,2017-01-02 22:53:00,,,,114.0,160.0,,483.0,1,0,January,Monday,Light,62.07
44,Cycling,2017-01-01 00:36:00,6.33,,6.7,129.0,170.0,,488.0,1,6,January,Sunday,Light,56.17
45,Cycling,2016-12-27 22:35:00,2.98,,7.7,130.0,165.0,,267.0,12,1,December,Tuesday,Light,23.19
46,Cycling,2016-12-27 13:45:00,4.11,,9.7,134.0,169.0,,300.0,12,1,December,Tuesday,Moderate,25.18
47,Cycling,2016-12-27 09:38:00,3.36,,7.4,128.0,154.0,,292.0,12,1,December,Tuesday,Light,27.15
48,Cycling,2016-12-25 17:09:00,4.13,,9.0,146.0,164.0,,379.0,12,6,December,Sunday,Moderate,27.4
49,Cycling,2016-12-25 15:05:00,2.62,,5.5,149.0,163.0,,404.0,12,6,December,Sunday,Moderate,28.4
50,Cycling,2016-12-25 14:14:00,8.16,,9.8,142.0,167.0,,635.0,12,6,December,Sunday,Moderate,49.49
51,Strength Training,2016-12-23 17:48:00,,,,100.0,151.0,,335.0,12,4,December,Friday,Very Light,55.11
52,Cycling,2016-12-22 01:06:00,6.79,,11.9,146.0,158.0,,470.0,12,3,December,Thursday,Moderate,34.08
53,Cycling,2016-12-22 00:19:00,7.06,,9.2,144.0,163.0,,609.0,12,3,December,Thursday,Moderate,46.13
54,Strength Training,2016-12-21 22:39:00,,,,101.0,153.0,,431.0,12,2,December,Wednesday,Very Light,71.38
55,Strength Training,2016-12-20 22:12:00,,,,107.0,160.0,,547.0,12,1,December,Tuesday,Very Light,86.48
56,Cycling,2016-12-20 14:27:00,4.33,,8.2,129.0,157.0,,353.0,12,1,December,Tuesday,Light,31.32
57,Cycling,2016-12-20 12:30:00,3.46,,8.4,113.0,128.0,,206.0,12,1,December,Tuesday,Very Light,24.44
58,Strength Training,2016-12-19 20:02:00,,,,111.0,157.0,,609.0,12,0,December,Monday,Very Light,86.53
59,Cycling,2016-12-17 21:33:00,5.24,190.0,7.9,114.0,140.0,,309.0,12,5,December,Saturday,Light,39.42
60,Cardio,2016-12-16 21:15:00,,,,116.0,126.0,,148.0,12,4,December,Friday,Light,16.17
61,Treadmill Running,2016-12-16 20:27:00,2.01,13.0,12.51,128.0,155.0,3374.0,266.0,12,4,December,Friday,Light,25.46
62,Strength Training,2016-12-15 22:43:00,,,,113.0,158.0,,592.0,12,3,December,Thursday,Very Light,78.13
63,Cycling,2016-12-09 00:04:00,6.31,262.0,11.3,161.0,177.0,,511.0,12,4,December,Friday,Hard,33.24
64,Strength Training,2016-12-08 21:17:00,,,,131.0,174.0,,564.0,12,3,December,Thursday,Light,57.48
65,Cycling,2016-12-04 23:57:00,6.74,292.0,11.0,157.0,183.0,,538.0,12,6,December,Sunday,Hard,36.47
66,Strength Training,2016-12-03 22:05:00,,,,120.0,157.0,,444.0,12,5,December,Saturday,Light,48.03
67,Cardio,2016-12-02 03:10:00,,,,93.0,152.0,,87.0,12,4,December,Friday,Very Light,15.15
68,Cycling,2016-12-01 19:23:00,4.99,180.0,8.8,127.0,166.0,,363.0,12,3,December,Thursday,Light,34.01
69,Cycling,2016-12-01 18:27:00,4.1,52.0,6.8,109.0,123.0,,261.0,12,3,December,Thursday,Very Light,35.53
70,Strength Training,2016-11-30 22:50:00,,,,113.0,161.0,,503.0,11,2,November,Wednesday,Very Light,68.46
71,Cardio,2016-11-27 18:19:00,,,,82.0,106.0,,18.0,11,6,November,Sunday,Very Light,4.28
72,Strength Training,2016-11-23 18:24:00,,,,115.0,156.0,,446.0,11,2,November,Wednesday,Light,57.02
73,Running,2016-11-21 22:52:00,3.92,,10.48,130.0,157.0,,515.0,11,0,November,Monday,Light,42.18
74,Strength Training,2016-11-08 21:33:00,,,,108.0,151.0,,659.0,11,1,November,Tuesday,Very Light,75.0
75,Strength Training,2016-11-03 22:33:00,,,,107.0,148.0,,689.0,11,3,November,Thursday,Very Light,79.38
76,Strength Training,2016-11-01 22:49:00,,,,113.0,146.0,,716.0,11,1,November,Tuesday,Very Light,74.3
77,Strength Training,2016-10-30 23:48:00,,,,124.0,166.0,,772.0,10,6,October,Sunday,Light,68.29
78,Strength Training,2016-10-28 21:46:00,,,,120.0,174.0,,755.0,10,4,October,Friday,Light,70.29
79,Cardio,2016-10-26 23:06:00,,,,110.0,168.0,,1719.0,10,2,October,Wednesday,Very Light,187.54
80,Running,2016-10-24 22:11:00,3.94,,12.51,119.0,165.0,,528.0,10,0,October,Monday,Light,50.4
81,Strength Training,2016-10-23 21:34:00,,,,110.0,168.0,,735.0,10,6,October,Sunday,Very Light,81.18
82,Strength Training,2016-10-22 06:27:00,,,,99.0,135.0,,431.0,10,5,October,Saturday,Very Light,59.11
83,Running,2016-10-21 16:42:00,8.22,,8.46,145.0,169.0,,1046.0,10,4,October,Friday,Moderate,72.04
84,Strength Training,2016-10-13 07:23:00,,,,116.0,153.0,,783.0,10,3,October,Thursday,Light,77.55
85,Running,2016-10-12 07:15:00,2.0,,11.43,135.0,168.0,,303.0,10,2,October,Wednesday,Moderate,23.23
86,Strength Training,2016-10-11 08:04:00,,,,128.0,165.0,,762.0,10,1,October,Tuesday,Light,64.11
87,Strength Training,2016-10-09 06:15:00,,,,118.0,152.0,,737.0,10,6,October,Sunday,Light,71.29
88,Strength Training,2016-10-06 08:32:00,,,,124.0,183.0,,548.0,10,3,October,Thursday,Light,48.38
