Year,Month,totalActMinutes
2012,1,0
2012,2,0
2012,3,0
2012,4,0
2012,5,0
2012,6,0
2012,7,0
2012,8,0
2012,9,56
2012,10,255
2012,11,0
2012,12,0
2013,1,0
2013,2,57
2013,3,223
2013,4,0
2013,5,113
2013,6,0
2013,7,0
2013,8,0
2013,9,0
2013,10,0
2013,11,0
2013,12,135
2014,1,131
2014,2,0
2014,3,293
2014,4,416
2014,5,139
2014,6,0
2014,7,0
2014,8,112
2014,9,179
2014,10,401
2014,11,453
2014,12,399
2015,1,234
2015,2,205
2015,3,43.41
2015,4,72.53
2015,5,0
2015,6,110
2015,7,876
2015,8,1237
2015,9,842
2015,10,1908
2015,11,1821
2015,12,1621
2016,1,1277
2016,2,2251
2016,3,1672
2016,4,2237
2016,5,2068
2016,6,1255
2016,7,1757
2016,8,792
2016,9,720
2016,10,963
2016,11,401
2016,12,1035
